school,lat,lon
"University of Patras, Greece",38.24621582,21.73506927
"University of London, United Kingdom",51.42471313,-0.56266898
"Queen's University at Kingston, Canada",44.22609711,-76.4959259
"University of Central Florida, United States",28.61787415,-81.2062912
"University of California, Irvine, United States",33.64204407,-117.83917999
"Indian Statistical Institute, Kolkata, India",22.56557274,88.37021637
"Carl-von-Ossietzky-Universität Oldenburg, Germany",53.14778137,8.18222046
"Universiteit van Amsterdam, Netherlands",52.36854172,4.89021587
"Carnegie Mellon University, United States",40.44292831,-79.94275665
"Stanford University, United States",37.42795563,-122.17184448
"Arizona State University, United States",33.42100143,-111.93299866
"University of Cincinnati, United States",39.14841286,-84.47633056
"Beijing Jiaotong University, China",39.95009995,116.33709717
"National University of Singapore, Singapore",1.29583895,103.77718353
"Loughborough University, United Kingdom",52.76319122,-1.23695493
"University of Adelaide, Australia",-34.91899872,138.60440063
"University of New Orleans, United States",29.95176315,-90.07461548
"National Research University – Higher School of Economics, Russia",61.66702652,99.09856415
"Università degli Studi di Udine, Italy",46.06655502,13.23282719
"University of Florida, United States",29.6414299,-82.35647583
"University of Bristol, United Kingdom",51.45796585,-2.60253167
"Ruprecht-Karls-Universität Heidelberg, Germany",49.41784668,8.66932392
"National University of Computer and Emerging Sciences, Pakistan",29.39997482,68.81533813
"Ludwig-Maximilians-Universität München, Germany",48.1504097,11.5804739
"Università degli Studi di Milano, Italy",45.46121216,9.18655968
"Université de Fribourg, Switzerland",46.80429459,7.15239191
"Queensland University of Technology, Australia",-27.5535821,153.0514951
"Tezpur University, India",26.70070267,92.83067322
"Tribhuvan University, Nepal",27.6818409,85.28646088
"Universität Passau, Germany",48.56830215,13.45322132
"University of Hawaii, United States",19.61087036,-155.52742004
"Stockholm University, Sweden",59.36611176,18.0601387
"Université de Cergy-Pontoise, France",49.03876114,2.07502151
"University of Szeged, Hungary",46.25361633,20.14613533
"Institut National Polytechnique de Toulouse, France",43.6039505,1.44450903
"Harvard University, United States",42.37420273,-71.11627197
"Florida International University, United States",25.75699997,-80.37400055
"Worcester Polytechnic Institute, United States",42.27412033,-71.80857849
"Duke University, United States",35.99642563,-78.91738129
"Technische Universität Wien, Austria",48.19601059,16.37068176
"University of Illinois at Chicago, United States",41.87002945,-87.66072845
"Universidad de Cantabria, Spain",43.47297668,-3.80134296
"Københavns Universitet, Denmark",55.67933655,12.57098198
"University of Southampton, United Kingdom",50.93541718,-1.39650559
"Universität Bayreuth, Germany",49.92844391,11.58514881
"Queen's University of Belfast, United Kingdom",54.58424377,-5.93373108
"The University of Edinburgh, United Kingdom",55.94381714,-3.18808675
"Karlsruher Institut für Technologie (KIT), Germany",49.00944519,8.41161156
"Alexandru Ioan Cuza University of Iasi, Romania",47.17467499,27.57160187
"Université de Béjaïa, Algeria",36.75117874,5.06436872
"Université Mouloud Mammeri de Tizi Ouzou, Algeria",36.69789505,4.05787277
"Universidade Federal de São Carlos, Brazil",-21.98319435,-47.88167572
"Lancaster University, United Kingdom",54.00923157,-2.78688049
"Politechnika Śląska, Poland",50.29020309,18.67538643
"Christian-Albrechts-Universität zu Kiel, Germany",54.33889008,10.12250042
"Heriot-Watt University, United Kingdom",55.91089249,-3.32290792
"Institute of Mathematics of National Academy of Sciences of Ukraine, Ukraine",38.89300537,-77.04775238
